caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Traer informacion estudiante - banner,res_a6c774ed-b72f-4808-8bd6-e085c72c43d4,Role 1,2016-05-18 22:08:37,43,0,2016-05-18 22:08:20
Case2,Traer informacion estudiante - banner,res_809ad161-33bb-4b9a-8e8f-c00921af01e4,Role 1,2016-05-19 00:05:33,44,0,2016-05-19 00:05:04
Case1,Radicar Solicitud Homologacion,res_1836526e-fd08-411f-a085-4acf81fed77a,Role 1,2016-05-19 00:28:13,44,0,2016-05-19 00:23:25
Case3,Traer informacion estudiante - banner,res_4bd3b07f-35b4-4e12-a058-c4fbc2798bf7,Role 1,2016-05-19 02:34:00,45,0,2016-05-19 02:33:34
Case4,Traer informacion estudiante - banner,res_148a8438-e141-4703-896d-e0a2e93c3c7f,Role 1,2016-05-19 04:17:21,46,0,2016-05-19 04:16:56
Case1,Validar solicitud,res_db89546a-51fb-46a9-9c03-00668553bc76,Role 2,2016-05-19 05:45:53,46,0,2016-05-19 04:58:52
Case5,Traer informacion estudiante - banner,res_16512672-a359-48e4-b553-981f9a55fa82,Role 1,2016-05-19 06:37:12,47,0,2016-05-19 06:36:49
Case2,Radicar Solicitud Homologacion,res_b0560348-6c45-4a55-b9c2-e3a080e240ef,Role 1,2016-05-19 07:49:52,47,0,2016-05-19 07:40:47
Case3,Radicar Solicitud Homologacion,res_115d32aa-5389-439d-954b-9a810c8c650e,Role 1,2016-05-19 10:12:34,47,0,2016-05-19 10:04:02
Case4,Radicar Solicitud Homologacion,res_62217aa6-920d-4dd5-b4e6-d5f19b153a49,Role 1,2016-05-19 11:50:27,47,0,2016-05-19 11:42:14
Case6,Traer informacion estudiante - banner,res_ec418c28-70cf-4cc7-b45a-36e875e892f1,Role 1,2016-05-19 12:07:00,48,0,2016-05-19 12:06:39
Case7,Traer informacion estudiante - banner,res_b38fb9c8-ee58-400f-85e2-cc493e6c76da,Role 1,2016-05-19 13:03:46,49,0,2016-05-19 13:03:25
Case1,Recepcion de documentos,res_ebef1400-8b4d-4530-b72e-7379b5680cc6,Role 2,2016-05-19 13:45:06,49,0,2016-05-19 13:39:41
Case5,Radicar Solicitud Homologacion,res_228d9418-d58d-40aa-a48d-3bdbd70a1067,Role 1,2016-05-19 14:04:48,49,0,2016-05-19 13:56:58
Case8,Traer informacion estudiante - banner,res_8b5bf139-2735-464c-816a-4a238c3551a4,Role 1,2016-05-19 14:47:58,50,0,2016-05-19 14:47:37
Case9,Traer informacion estudiante - banner,res_879f0b98-aca0-467c-90b3-244a2b38e7e3,Role 1,2016-05-19 15:08:13,51,0,2016-05-19 15:07:51
Case10,Traer informacion estudiante - banner,res_d8145d5b-704d-416b-9eb6-24e0982dddc7,Role 1,2016-05-19 16:06:43,52,0,2016-05-19 16:06:21
Case11,Traer informacion estudiante - banner,res_6f41cb5e-c3fb-4cf5-b955-d5bef4c1905c,Role 1,2016-05-19 17:00:35,53,0,2016-05-19 17:00:13
Case12,Traer informacion estudiante - banner,res_c7ca90c3-b06b-4d32-ba9f-0fbce0b82a55,Role 1,2016-05-19 18:29:27,54,0,2016-05-19 18:29:05
Case6,Radicar Solicitud Homologacion,res_05470fa4-16a7-46cb-9645-740b80f05e36,Role 1,2016-05-19 19:28:46,54,0,2016-05-19 19:21:42
Case7,Radicar Solicitud Homologacion,res_4a6b798b-097b-4e21-befa-5b31976b9a8c,Role 1,2016-05-19 20:20:28,54,0,2016-05-19 20:13:27
Case13,Traer informacion estudiante - banner,res_ec5b328e-114a-4e27-8f8b-841566f321d0,Role 1,2016-05-19 20:27:18,55,0,2016-05-19 20:26:55
Case14,Traer informacion estudiante - banner,res_56ba1d0b-3575-4c5b-9b9b-9e3e886df080,Role 1,2016-05-19 21:53:41,56,0,2016-05-19 21:53:17
Case8,Radicar Solicitud Homologacion,res_56ba1d0b-3575-4c5b-9b9b-9e3e886df080,Role 1,2016-05-19 21:59:33,55,0,2016-05-19 21:52:40
