caseid,task,start_timestamp,end_timestamp
Case000,Evaluacion curso,2021-02-14 02:08:15.390829,2021-02-14 04:32:20.572342
Case000,Validar solicitud,2021-02-14 04:32:20.572342,2021-02-14 13:16:18.030953
Case000,Homologacion por grupo de cursos,2021-02-14 13:16:18.030953,2021-02-14 14:24:11.298580
Case000,Evaluacion curso,2021-02-14 21:30:09.821949,2021-02-15 08:46:15.721893
Case001,Visto Bueno Cierre Proceso,2021-02-14 15:23:07.803397,2021-02-14 20:53:40.363698
Case001,Notificacion estudiante cancelacion soli,2021-02-14 04:32:20.572342,2021-02-14 04:32:20.572342
Case001,Evaluacion curso,2021-02-14 13:16:18.030953,2021-02-14 17:27:17.853512
Case001,Traer informacion estudiante - banner,2021-02-15 05:20:51.680431,2021-02-16 11:54:50.636501
Case002,Avanzar recepcion documentos,2021-02-14 14:24:11.298580,2021-02-15 07:06:36.305523
Case002,Avanzar recepcion documentos,2021-02-14 13:16:18.030953,2021-02-14 13:16:18.030953
Case002,Validar solicitud,2021-02-14 04:32:20.572342,2021-02-14 04:32:20.572342
Case002,Validacion final,2021-02-13 10:56:06.698584,2021-02-15 01:36:54.061102
Case003,Homologacion por grupo de cursos,2021-02-14 21:31:49.358725,2021-02-14 21:31:49.358725
Case003,Traer informacion estudiante - banner,2021-02-14 04:32:20.572342,2021-02-14 04:32:20.572342
Case003,Visto Bueno Cierre Proceso,2021-02-14 13:16:18.030953,2021-02-15 03:13:59.045319
Case003,Avanzar recepcion documentos,2021-02-14 14:24:11.298580,2021-02-14 19:09:17.535467
Case004,Evaluacion curso,2021-02-14 05:55:36.589178,2021-02-14 05:55:36.589178
Case005,Evaluacion curso,2021-02-14 21:30:10.120779,2021-02-15 08:46:16.020723
Case005,Validar solicitud,2021-02-14 04:32:20.871172,2021-02-14 13:16:18.329783
Case005,Homologacion por grupo de cursos,2021-02-14 13:16:18.329783,2021-02-14 14:24:11.597410
Case005,Evaluacion curso,2021-02-14 02:08:15.689659,2021-02-14 04:32:20.871172
Case006,Visto Bueno Cierre Proceso,2021-02-14 15:23:08.102227,2021-02-14 20:53:40.662528
Case006,Notificacion estudiante cancelacion soli,2021-02-14 04:32:20.871172,2021-02-14 04:32:20.871172
Case006,Evaluacion curso,2021-02-14 13:16:18.329783,2021-02-14 17:27:18.152342
Case006,Traer informacion estudiante - banner,2021-02-15 05:20:51.979261,2021-02-16 11:54:50.935331
Case007,Validacion final,2021-02-13 10:56:06.997414,2021-02-15 01:36:54.359932
Case007,Validar solicitud,2021-02-14 04:32:20.871172,2021-02-14 04:32:20.871172
Case007,Avanzar recepcion documentos,2021-02-14 13:16:18.329783,2021-02-14 13:16:18.329783
Case007,Avanzar recepcion documentos,2021-02-14 14:24:11.597410,2021-02-15 07:06:36.604353
Case008,Homologacion por grupo de cursos,2021-02-14 21:31:49.657555,2021-02-14 21:31:49.657555
Case008,Avanzar recepcion documentos,2021-02-14 14:24:11.597410,2021-02-14 19:09:17.834297
Case008,Visto Bueno Cierre Proceso,2021-02-14 13:16:18.329783,2021-02-15 03:13:59.344149
Case008,Traer informacion estudiante - banner,2021-02-14 04:32:20.871172,2021-02-14 04:32:20.871172
Case009,Evaluacion curso,2021-02-14 05:55:36.888008,2021-02-14 05:55:36.888008
Case010,Homologacion por grupo de cursos,2021-02-14 13:16:17.893875,2021-02-14 14:24:11.161502
Case010,Evaluacion curso,2021-02-14 02:08:15.253751,2021-02-14 04:32:20.435264
Case010,Validar solicitud,2021-02-14 04:32:20.435264,2021-02-14 13:16:17.893875
Case010,Evaluacion curso,2021-02-14 21:30:09.684871,2021-02-15 08:46:15.584815
Case011,Traer informacion estudiante - banner,2021-02-15 05:20:51.543353,2021-02-16 11:54:50.499423
Case011,Notificacion estudiante cancelacion soli,2021-02-14 04:32:20.435264,2021-02-14 04:32:20.435264
Case011,Evaluacion curso,2021-02-14 13:16:17.893875,2021-02-14 17:27:17.716434
Case011,Visto Bueno Cierre Proceso,2021-02-14 15:23:07.666319,2021-02-14 20:53:40.226620
