caseid,task,start_timestamp,end_timestamp,resource
0,Start,2016-05-18 21:56:02.0,2016-05-18 21:56:02.0,SYSTEM
0,Traer informacion estudiante - banner,2016-05-18 21:56:02.0,2016-05-18 21:56:02.0,Role 1
0,Radicar Solicitud Homologacion,2016-05-18 21:56:02.0,2016-05-18 21:56:54.849,Role 1
0,Cancelar Solicitud,2016-05-18 21:56:54.849,2016-05-18 21:56:54.849,SYSTEM
0,End,2016-05-18 21:56:54.849,2016-05-18 21:56:54.849,SYSTEM
1,Start,2016-05-19 13:31:55.937,2016-05-19 13:31:55.937,SYSTEM
1,Traer informacion estudiante - banner,2016-05-19 13:31:55.937,2016-05-19 13:31:55.937,Role 1
1,Radicar Solicitud Homologacion,2016-05-19 13:31:55.937,2016-05-19 16:04:23.516,Role 1
1,Cancelar Solicitud,2016-05-19 16:04:23.516,2016-05-19 16:04:23.516,SYSTEM
1,End,2016-05-19 16:04:23.516,2016-05-19 16:04:23.516,SYSTEM
2,Start,2016-05-19 23:04:06.627,2016-05-19 23:04:06.627,SYSTEM
3,Start,2016-05-19 23:33:46.673,2016-05-19 23:33:46.673,SYSTEM
2,Traer informacion estudiante - banner,2016-05-19 23:04:06.627,2016-05-20 00:00:00.0,Role 1
3,Traer informacion estudiante - banner,2016-05-19 23:33:46.673,2016-05-20 00:00:00.0,Role 1
3,Radicar Solicitud Homologacion,2016-05-20 00:00:00.0,2016-05-20 00:01:42.84,Role 1
3,Cancelar Solicitud,2016-05-20 00:01:42.84,2016-05-20 00:01:42.84,SYSTEM
3,End,2016-05-20 00:01:42.84,2016-05-20 00:01:42.84,SYSTEM
2,Radicar Solicitud Homologacion,2016-05-20 00:00:00.0,2016-05-20 00:02:24.913,Role 1
2,Cancelar Solicitud,2016-05-20 00:02:24.913,2016-05-20 00:02:24.913,SYSTEM
2,End,2016-05-20 00:02:24.913,2016-05-20 00:02:24.913,SYSTEM
4,Start,2016-05-20 03:14:41.468,2016-05-20 03:14:41.468,SYSTEM
4,Traer informacion estudiante - banner,2016-05-20 03:14:41.468,2016-05-20 16:00:00.0,Role 1
4,Radicar Solicitud Homologacion,2016-05-20 16:00:00.0,2016-05-20 16:01:59.788,Role 1
4,Cancelar Solicitud,2016-05-20 16:01:59.788,2016-05-20 16:01:59.788,SYSTEM
4,End,2016-05-20 16:01:59.788,2016-05-20 16:01:59.788,SYSTEM
5,Start,2016-05-21 19:51:52.356,2016-05-21 19:51:52.356,SYSTEM
5,Traer informacion estudiante - banner,2016-05-21 19:51:52.356,2016-05-21 19:51:52.356,Role 1
6,Start,2016-05-21 23:33:54.03,2016-05-21 23:33:54.03,SYSTEM
7,Start,2016-05-24 02:31:16.47,2016-05-24 02:31:16.47,SYSTEM
8,Start,2016-05-24 13:11:26.458,2016-05-24 13:11:26.458,SYSTEM
6,Traer informacion estudiante - banner,2016-05-21 23:33:54.03,2016-05-24 18:00:00.0,Role 1
7,Traer informacion estudiante - banner,2016-05-24 02:31:16.47,2016-05-24 18:00:00.0,Role 1
8,Traer informacion estudiante - banner,2016-05-24 13:11:26.458,2016-05-24 18:00:00.0,Role 1
7,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:00:47.354,Role 1
7,Cancelar Solicitud,2016-05-24 18:00:47.354,2016-05-24 18:00:47.354,SYSTEM
7,End,2016-05-24 18:00:47.354,2016-05-24 18:00:47.354,SYSTEM
6,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:00:59.112,Role 1
6,Cancelar Solicitud,2016-05-24 18:00:59.112,2016-05-24 18:00:59.112,SYSTEM
6,End,2016-05-24 18:00:59.112,2016-05-24 18:00:59.112,SYSTEM
8,Radicar Solicitud Homologacion,2016-05-24 18:00:00.0,2016-05-24 18:01:12.55,Role 1
8,Cancelar Solicitud,2016-05-24 18:01:12.55,2016-05-24 18:01:12.55,SYSTEM
8,End,2016-05-24 18:01:12.55,2016-05-24 18:01:12.55,SYSTEM
5,Radicar Solicitud Homologacion,2016-05-21 19:51:52.356,2016-05-24 18:13:43.259,Role 1
5,Cancelar Solicitud,2016-05-24 18:13:43.259,2016-05-24 18:13:43.259,SYSTEM
5,End,2016-05-24 18:13:43.259,2016-05-24 18:13:43.259,SYSTEM
9,Start,2016-05-25 13:26:12.326,2016-05-25 13:26:12.326,SYSTEM
10,Start,2016-05-25 19:11:23.049,2016-05-25 19:11:23.049,SYSTEM
9,Traer informacion estudiante - banner,2016-05-25 13:26:12.326,2016-05-25 20:00:00.0,Role 1
10,Traer informacion estudiante - banner,2016-05-25 19:11:23.049,2016-05-25 20:00:00.0,Role 1
9,Radicar Solicitud Homologacion,2016-05-25 20:00:00.0,2016-05-25 20:02:28.038,Role 1
9,Cancelar Solicitud,2016-05-25 20:02:28.038,2016-05-25 20:02:28.038,SYSTEM
9,End,2016-05-25 20:02:28.038,2016-05-25 20:02:28.038,SYSTEM
10,Radicar Solicitud Homologacion,2016-05-25 20:00:00.0,2016-05-25 20:03:27.964,Role 1
10,Cancelar Solicitud,2016-05-25 20:03:27.964,2016-05-25 20:03:27.964,SYSTEM
10,End,2016-05-25 20:03:27.964,2016-05-25 20:03:27.964,SYSTEM
11,Start,2016-05-26 00:52:00.423,2016-05-26 00:52:00.423,SYSTEM
11,Traer informacion estudiante - banner,2016-05-26 00:52:00.423,2016-05-26 00:52:00.423,Role 1
11,Radicar Solicitud Homologacion,2016-05-26 00:52:00.423,2016-05-26 00:54:53.154,Role 1
11,Cancelar Solicitud,2016-05-26 00:54:53.154,2016-05-26 00:54:53.154,SYSTEM
11,End,2016-05-26 00:54:53.154,2016-05-26 00:54:53.154,SYSTEM
12,Start,2016-05-26 22:19:46.198,2016-05-26 22:19:46.198,SYSTEM
12,Traer informacion estudiante - banner,2016-05-26 22:19:46.198,2016-05-26 22:19:46.198,Role 1
12,Radicar Solicitud Homologacion,2016-05-26 22:19:46.198,2016-05-26 22:23:49.429,Role 1
12,Cancelar Solicitud,2016-05-26 22:23:49.429,2016-05-26 22:23:49.429,SYSTEM
12,End,2016-05-26 22:23:49.429,2016-05-26 22:23:49.429,SYSTEM
13,Start,2016-05-27 15:27:38.867,2016-05-27 15:27:38.867,SYSTEM
13,Traer informacion estudiante - banner,2016-05-27 15:27:38.867,2016-05-27 15:27:38.867,Role 1
13,Radicar Solicitud Homologacion,2016-05-27 15:27:38.867,2016-05-27 16:03:05.833,Role 1
13,Cancelar Solicitud,2016-05-27 16:03:05.833,2016-05-27 16:03:05.833,SYSTEM
13,End,2016-05-27 16:03:05.833,2016-05-27 16:03:05.833,SYSTEM
14,Start,2016-05-27 16:49:01.117,2016-05-27 16:49:01.117,SYSTEM
14,Traer informacion estudiante - banner,2016-05-27 16:49:01.117,2016-05-27 16:49:01.117,Role 1
14,Radicar Solicitud Homologacion,2016-05-27 16:49:01.117,2016-05-27 16:50:06.767,Role 1
14,Cancelar Solicitud,2016-05-27 16:50:06.767,2016-05-27 16:50:06.767,SYSTEM
14,End,2016-05-27 16:50:06.767,2016-05-27 16:50:06.767,SYSTEM
15,Start,2016-05-27 17:31:19.012,2016-05-27 17:31:19.012,SYSTEM
16,Start,2016-05-27 19:13:09.38,2016-05-27 19:13:09.38,SYSTEM
15,Traer informacion estudiante - banner,2016-05-27 17:31:19.012,2016-05-27 21:00:00.0,Role 1
16,Traer informacion estudiante - banner,2016-05-27 19:13:09.38,2016-05-27 21:00:00.0,Role 1
16,Radicar Solicitud Homologacion,2016-05-27 21:00:00.0,2016-05-27 21:00:58.802,Role 1
16,Cancelar Solicitud,2016-05-27 21:00:58.802,2016-05-27 21:00:58.802,SYSTEM
16,End,2016-05-27 21:00:58.802,2016-05-27 21:00:58.802,SYSTEM
15,Radicar Solicitud Homologacion,2016-05-27 21:00:00.0,2016-05-27 21:01:24.478,Role 1
15,Cancelar Solicitud,2016-05-27 21:01:24.478,2016-05-27 21:01:24.478,SYSTEM
15,End,2016-05-27 21:01:24.478,2016-05-27 21:01:24.478,SYSTEM
17,Start,2016-05-28 20:04:28.535,2016-05-28 20:04:28.535,SYSTEM
17,Traer informacion estudiante - banner,2016-05-28 20:04:28.535,2016-05-28 20:04:28.535,Role 1
18,Start,2016-05-29 01:47:50.866,2016-05-29 01:47:50.866,SYSTEM
19,Start,2016-05-29 23:16:48.022,2016-05-29 23:16:48.022,SYSTEM
20,Start,2016-05-31 04:28:50.212,2016-05-31 04:28:50.212,SYSTEM
18,Traer informacion estudiante - banner,2016-05-29 01:47:50.866,2016-05-31 18:00:00.0,Role 1
19,Traer informacion estudiante - banner,2016-05-29 23:16:48.022,2016-05-31 18:00:00.0,Role 1
20,Traer informacion estudiante - banner,2016-05-31 04:28:50.212,2016-05-31 18:00:00.0,Role 1
17,Radicar Solicitud Homologacion,2016-05-28 20:04:28.535,2016-05-31 18:00:58.708,Role 1
17,Cancelar Solicitud,2016-05-31 18:00:58.708,2016-05-31 18:00:58.708,SYSTEM
17,End,2016-05-31 18:00:58.708,2016-05-31 18:00:58.708,SYSTEM
20,Radicar Solicitud Homologacion,2016-05-31 18:00:00.0,2016-05-31 18:00:59.488,Role 1
20,Cancelar Solicitud,2016-05-31 18:00:59.488,2016-05-31 18:00:59.488,SYSTEM
20,End,2016-05-31 18:00:59.488,2016-05-31 18:00:59.488,SYSTEM
19,Radicar Solicitud Homologacion,2016-05-31 18:00:00.0,2016-05-31 18:02:48.708,Role 1
19,Cancelar Solicitud,2016-05-31 18:02:48.708,2016-05-31 18:02:48.708,SYSTEM
19,End,2016-05-31 18:02:48.708,2016-05-31 18:02:48.708,SYSTEM
18,Radicar Solicitud Homologacion,2016-05-31 18:00:00.0,2016-05-31 18:09:31.237,Role 1
