caseid,task,start_timestamp,end_timestamp
Case00,Stress Relief,2021-02-16 20:55:34.627040,2021-02-16 20:55:34.627040
Case00,Round  Q.C.,2021-02-17 08:39:35.966056,2021-02-17 12:02:25.442756
Case00,Round Grinding,2021-02-17 15:44:52.362436,2021-02-17 15:44:52.362436
Case00,Laser Marking,2021-02-17 19:29:53.527588,2021-02-17 23:14:01.748509
Case00,Milling,2021-02-17 23:14:01.748509,2021-02-17 23:14:01.748509
Case00,Turning Rework,2021-02-17 23:14:01.748509,2021-02-17 23:14:01.748509
Case00,Fix,2021-02-16 16:57:17.433536,2021-02-16 20:31:04.938934
Case00,Lapping,2021-02-18 02:35:56.509392,2021-02-18 02:35:56.509392
Case00,Milling Q.C.,2021-02-18 08:21:20.665259,2021-02-18 10:27:11.723075
Case00,Turn & Mill. & Screw Assem,2021-02-18 10:27:11.723075,2021-02-18 10:27:11.723075
Case00,Round  Q.C.,2021-02-18 10:27:11.723075,2021-02-18 13:29:15.457025
Case00,Laser Marking,2021-02-18 15:03:10.856271,2021-02-18 15:03:10.856271
Case00,Turning,2021-02-18 17:37:49.787555,2021-02-18 21:49:17.473331
Case00,Turning,2021-02-18 03:13:15.057540,2021-02-18 08:21:20.665259
Case00,Turning Rework,2021-02-16 15:46:18.504474,2021-02-16 16:57:17.433536
Case00,Round  Q.C.,2021-02-17 23:22:23.090670,2021-02-18 01:38:02.855813
Case00,Round  Q.C.,2021-02-16 09:51:29.789529,2021-02-16 12:17:30.803847
Case00,Turning Q.C.,2021-02-13 12:37:29.235488,2021-02-13 12:37:29.235488
Case00,Round  Q.C.,2021-02-13 12:37:29.235488,2021-02-13 16:24:24.947272
Case00,Rework Milling,2021-02-13 16:24:24.947272,2021-02-13 17:36:56.948450
Case00,Nitration Q.C.,2021-02-13 18:03:35.413165,2021-02-13 18:03:35.413165
Case00,Lapping,2021-02-14 08:48:41.405864,2021-02-14 10:40:59.015990
Case00,Round  Q.C.,2021-02-14 12:20:17.534948,2021-02-14 12:20:17.534948
Case00,Packing,2021-02-14 13:22:15.890318,2021-02-14 18:10:04.057528
Case00,Grinding Rework,2021-02-14 18:10:04.057528,2021-02-14 18:31:55.987648
Case00,Laser Marking,2021-02-14 18:31:55.987648,2021-02-14 18:31:55.987648
Case00,Grinding Rework,2021-02-16 02:14:52.604317,2021-02-16 04:06:00.142483
Case00,Round  Q.C.,2021-02-16 04:41:26.720206,2021-02-16 04:41:26.720206
Case00,Flat Grinding,2021-02-16 09:45:40.843363,2021-02-16 09:51:29.789529
Case00,Turning,2021-02-16 09:51:29.789529,2021-02-16 09:51:29.789529
Case00,Grinding Rework,2021-02-16 14:51:36.351285,2021-02-16 14:51:36.351285
Case01,Fix,2021-02-13 18:09:31.892262,2021-02-13 18:09:31.892262
Case01,Round Grinding,2021-02-13 15:21:11.052421,2021-02-13 21:04:04.598926
Case01,Lapping,2021-02-13 12:37:29.235488,2021-02-13 15:19:45.266043
Case02,Change Version,2021-02-13 14:46:21.531669,2021-02-13 15:24:38.560127
Case02,Flat Grinding,2021-02-13 19:31:11.500207,2021-02-13 19:43:32.678886
Case02,Setup,2021-02-13 17:36:56.948450,2021-02-13 17:36:56.948450
Case02,Turning Rework,2021-02-14 06:15:16.692805,2021-02-14 09:03:43.157239
Case03,Rework Milling,2021-02-14 12:20:17.534948,2021-02-14 13:20:53.998829
Case03,Final Inspection,2021-02-15 23:45:27.853264,2021-02-16 01:46:33.737973
Case03,Stress Relief,2021-02-14 18:31:55.987648,2021-02-15 00:14:15.999674
Case03,Lapping,2021-02-14 18:33:27.687010,2021-02-14 18:33:27.687010
Case03,Flat Grinding,2021-02-14 12:08:56.611343,2021-02-14 16:54:54.680095
Case03,Round  Q.C.,2021-02-14 11:16:39.861026,2021-02-14 12:54:26.170144
Case03,Lapping,2021-02-13 17:46:39.086190,2021-02-13 19:06:27.028194
Case03,Final Inspection Q.C.,2021-02-13 17:44:25.318740,2021-02-13 18:05:48.375148
Case03,Rework Milling,2021-02-13 12:37:29.235488,2021-02-13 13:43:22.771879
Case03,Final Inspection,2021-02-13 13:54:04.760431,2021-02-13 18:29:41.813682
Case04,Nitration Q.C.,2021-02-16 12:17:30.803847,2021-02-16 14:18:38.125362
Case04,Setup,2021-02-16 15:32:39.886022,2021-02-16 15:32:39.886022
Case04,Flat Grinding,2021-02-16 17:18:54.855587,2021-02-16 17:18:54.855587
Case04,Turning & Milling,2021-02-16 22:27:21.947801,2021-02-16 22:27:21.947801
Case04,Turning Q.C.,2021-02-17 12:02:25.442756,2021-02-17 15:05:41.172775
Case04,Turn & Mill. & Screw Assem,2021-02-17 16:08:19.505397,2021-02-17 16:08:19.505397
Case04,Laser Marking,2021-02-18 03:42:19.706978,2021-02-18 03:42:19.706978
Case04,Nitration Q.C.,2021-02-16 21:39:00.608640,2021-02-17 01:11:55.127321
Case04,Turning,2021-02-20 03:38:46.866612,2021-02-20 04:36:26.385164
Case04,Turn & Mill. & Screw Assem,2021-02-18 01:59:47.852959,2021-02-18 03:40:46.244077
Case04,Turning Rework,2021-02-18 02:54:44.060065,2021-02-18 02:54:44.060065
Case04,Turning Rework,2021-02-17 23:14:01.748509,2021-02-17 23:14:01.748509
Case04,Milling Q.C.,2021-02-16 12:35:44.443460,2021-02-16 12:35:44.443460
Case04,Fix,2021-02-17 12:39:14.449161,2021-02-17 15:22:29.980339
Case04,Turning Q.C.,2021-02-16 05:34:44.100570,2021-02-16 05:34:44.100570
