caseid,task,start_timestamp,end_timestamp,resource
0,Rework Milling,2012-03-13 07:00:00.0,2012-03-13 07:00:00.0,SYSTEM
0,Start,2012-03-13 07:00:00.0,2012-03-13 07:00:00.0,SYSTEM
0,Milling Q.C.,2012-03-13 07:00:00.0,2012-03-13 07:00:00.0,SYSTEM
0,Packing,2012-03-13 07:00:00.0,2012-03-13 08:00:00.0,Role 5
0,Round  Q.C.,2012-03-13 08:00:00.0,2012-03-13 08:00:00.0,SYSTEM
0,Packing,2012-03-13 08:00:00.0,2012-03-13 09:00:00.0,Role 5
0,End,2012-03-13 09:00:00.0,2012-03-13 14:00:00.0,SYSTEM
1,Turning & Milling,2012-03-14 14:08:00.0,2012-03-14 16:43:39.765,Role 1
1,Start,2012-03-14 16:43:39.765,2012-03-14 16:43:39.765,SYSTEM
1,Turning & Milling Q.C.,2012-03-14 16:43:39.765,2012-03-14 18:29:03.725,Role 3
1,Laser Marking,2012-03-14 18:29:03.725,2012-03-14 19:07:03.848,Role 6
1,Round Grinding,2012-03-14 19:07:03.848,2012-03-14 20:05:17.842,Role 2
1,Packing,2012-03-14 20:05:17.842,2012-03-14 21:05:17.842,Role 5
1,Final Inspection Q.C.,2012-03-14 21:05:17.842,2012-03-14 21:17:38.525,Role 3
1,Round Grinding,2012-03-14 21:17:38.525,2012-03-15 00:20:33.394,Role 2
1,Final Inspection Q.C.,2012-03-15 00:20:33.394,2012-03-15 02:43:28.357,Role 3
1,Packing,2012-03-15 02:43:28.357,2012-03-15 03:43:28.357,Role 5
1,Final Inspection Q.C.,2012-03-15 03:43:28.357,2012-03-15 08:29:14.446,Role 3
1,Packing,2012-03-15 08:29:14.446,2012-03-15 09:29:14.446,Role 5
1,End,2012-03-15 09:29:14.446,2012-03-15 09:29:14.446,SYSTEM
2,Turning & Milling,2012-03-17 18:16:00.0,2012-03-18 00:19:04.23,Role 1
2,Milling,2012-03-18 00:19:04.23,2012-03-18 00:19:04.23,SYSTEM
2,Final Inspection Q.C.,2012-03-18 00:19:04.23,2012-03-18 00:46:40.241,Role 3
2,Packing,2012-03-18 00:46:40.241,2012-03-18 01:46:40.241,Role 5
2,Round  Q.C.,2012-03-18 01:46:40.241,2012-03-18 01:46:40.241,SYSTEM
2,Packing,2012-03-18 01:46:40.241,2012-03-18 02:46:40.241,Role 5
2,Final Inspection Q.C.,2012-03-18 02:46:40.241,2012-03-18 03:25:29.96,Role 3
2,Packing,2012-03-18 03:25:29.96,2012-03-18 04:25:29.96,Role 5
2,Fix,2012-03-18 04:25:29.96,2012-03-19 16:00:00.0,SYSTEM
2,Packing,2012-03-19 16:00:00.0,2012-03-19 17:00:00.0,Role 5
2,Final Inspection Q.C.,2012-03-19 17:00:00.0,2012-03-19 18:06:52.627,Role 3
2,Packing,2012-03-19 18:06:52.627,2012-03-19 19:06:52.627,Role 5
2,End,2012-03-19 19:06:52.627,2012-03-20 07:00:00.0,SYSTEM
3,Turning & Milling,2012-03-20 21:22:00.0,2012-03-21 03:00:09.939,Role 1
3,Start,2012-03-21 03:00:09.939,2012-03-21 03:00:09.939,SYSTEM
3,Turning & Milling,2012-03-21 03:00:09.939,2012-03-21 07:19:12.506,Role 1
3,Laser Marking,2012-03-21 07:19:12.506,2012-03-21 07:26:54.884,Role 6
3,Round Grinding,2012-03-21 07:26:54.884,2012-03-21 08:47:47.207,Role 2
3,Turning & Milling Q.C.,2012-03-21 08:47:47.207,2012-03-21 09:54:30.963,Role 3
3,Nitration Q.C.,2012-03-21 09:54:30.963,2012-03-21 09:57:30.963,Role 3
3,Laser Marking,2012-03-21 09:57:30.963,2012-03-21 09:58:44.017,Role 6
3,Final Inspection Q.C.,2012-03-21 09:58:44.017,2012-03-21 13:15:31.55,Role 3
3,Round Grinding,2012-03-21 13:15:31.55,2012-03-21 15:18:45.449,Role 2
3,Lapping,2012-03-21 15:18:45.449,2012-03-21 15:57:47.606,Role 6
3,Final Inspection Q.C.,2012-03-21 15:57:47.606,2012-03-21 17:31:21.589,Role 3
3,Packing,2012-03-21 17:31:21.589,2012-03-21 18:31:21.589,Role 5
3,Fix,2012-03-21 18:31:21.589,2012-03-21 18:31:21.589,SYSTEM
3,Packing,2012-03-21 18:31:21.589,2012-03-21 19:31:21.589,Role 5
3,Fix,2012-03-21 19:31:21.589,2012-03-22 07:00:00.0,SYSTEM
3,Packing,2012-03-22 07:00:00.0,2012-03-22 08:00:00.0,Role 5
3,Final Inspection Q.C.,2012-03-22 08:00:00.0,2012-03-22 16:39:22.449,Role 3
3,Packing,2012-03-22 16:39:22.449,2012-03-22 17:39:22.449,Role 5
3,Fix,2012-03-22 17:39:22.449,2012-03-23 07:00:00.0,SYSTEM
3,Packing,2012-03-23 07:00:00.0,2012-03-23 08:00:00.0,Role 5
3,Round  Q.C.,2012-03-23 08:00:00.0,2012-03-23 13:00:00.0,SYSTEM
3,Packing,2012-03-23 13:00:00.0,2012-03-23 14:00:00.0,Role 5
3,End,2012-03-23 14:00:00.0,2012-03-23 14:00:00.0,SYSTEM
4,Turning & Milling,2012-03-23 13:32:00.0,2012-03-23 15:38:23.368,Role 1
4,Laser Marking,2012-03-23 15:38:23.368,2012-03-23 15:42:08.075,Role 6
4,Flat Grinding,2012-03-23 15:42:08.075,2012-03-23 16:11:05.401,Role 6
4,Laser Marking,2012-03-23 16:11:05.401,2012-03-23 17:00:37.153,Role 6
4,Round Grinding,2012-03-23 17:00:37.153,2012-03-23 22:01:49.352,Role 2
4,Laser Marking,2012-03-23 22:01:49.352,2012-03-23 22:12:59.631,Role 6
4,Flat Grinding,2012-03-23 22:12:59.631,2012-03-24 02:44:04.64,Role 6
4,Lapping,2012-03-24 02:44:04.64,2012-03-24 03:23:51.85,Role 6
4,Round Grinding,2012-03-24 03:23:51.85,2012-03-24 06:13:43.968,Role 2
4,Laser Marking,2012-03-24 06:13:43.968,2012-03-24 06:26:54.838,Role 6
4,Lapping,2012-03-24 06:26:54.838,2012-03-24 07:41:20.69,Role 6
4,Round Grinding,2012-03-24 07:41:20.69,2012-03-24 07:54:37.389,Role 2
4,Laser Marking,2012-03-24 07:54:37.389,2012-03-24 08:04:23.743,Role 6
