caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case1,Create Purchase Requisition,res_b58a51b5-7aaf-44c5-ac5a-178b8f61fea1,Role 1,2011-06-20 23:28:02,41,0,0.0,2011-06-20 23:20:03
Case2,Create Purchase Requisition,res_b29536cf-c6bc-4759-82f5-d430a48993b0,Role 1,2011-06-21 03:12:14,42,0,0.0,2011-06-21 03:03:04
Case2,Create Request for Quotation,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-21 05:55:07,42,0,0.0,2011-06-21 05:38:44
Case3,Create Purchase Requisition,res_f7b3f01a-15d9-4cbd-9cab-3054668c28cb,Role 1,2011-06-21 06:09:56,43,0,0.0,2011-06-21 06:00:52
Case3,Create Request for Quotation,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-21 08:53:52,43,0,0.0,2011-06-21 08:37:15
Case4,Create Purchase Requisition,res_8a5aae88-574e-4567-baff-d824b27feae9,Role 1,2011-06-21 10:03:25,44,0,0.0,2011-06-21 09:54:27
Case4,Create Request for Quotation,res_bae65c09-1121-4513-8077-5321067d3748,Role 3,2011-06-21 12:48:27,44,0,0.0,2011-06-21 12:31:33
Case5,Create Purchase Requisition,res_8a5aae88-574e-4567-baff-d824b27feae9,Role 1,2011-06-21 13:17:23,45,0,0.0,2011-06-21 13:08:29
Case1,Analyze Purchase Requisition,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-21 18:27:05,45,0,0.0,2011-06-21 18:22:13
Case1,Amend Purchase Requisition,res_8a5aae88-574e-4567-baff-d824b27feae9,Role 1,2011-06-21 19:23:52,45,0,0.0,2011-06-21 19:05:57
Case6,Create Purchase Requisition,res_f737aed2-ca4a-4be0-8c07-861829374977,Role 1,2011-06-21 21:16:13,46,0,0.0,2011-06-21 21:07:25
Case7,Create Purchase Requisition,res_f7b3f01a-15d9-4cbd-9cab-3054668c28cb,Role 1,2011-06-22 00:25:47,47,0,0.0,2011-06-22 00:16:31
Case8,Create Purchase Requisition,res_f7b3f01a-15d9-4cbd-9cab-3054668c28cb,Role 1,2011-06-22 01:55:16,48,0,0.0,2011-06-22 01:46:06
Case9,Create Purchase Requisition,res_b94a19ec-a35b-4c73-b8f0-d6252ce7e103,Role 1,2011-06-22 06:28:36,49,0,0.0,2011-06-22 06:19:39
Case10,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-22 06:57:56,50,0,0.0,2011-06-22 06:49:01
Case5,Analyze Purchase Requisition,res_bae65c09-1121-4513-8077-5321067d3748,Role 3,2011-06-22 08:31:47,50,0,0.0,2011-06-22 08:26:26
Case10,Create Request for Quotation,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-22 09:16:14,49,0,0.0,2011-06-22 09:00:39
Case11,Create Purchase Requisition,res_b94a19ec-a35b-4c73-b8f0-d6252ce7e103,Role 1,2011-06-22 10:29:08,50,0,0.0,2011-06-22 10:20:20
Case12,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-22 13:31:19,51,0,0.0,2011-06-22 13:22:36
Case1,Analyze Purchase Requisition,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-22 15:29:33,51,0,0.0,2011-06-22 15:22:48
Case1,Create Request for Quotation,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-22 15:59:46,51,0,0.0,2011-06-22 15:39:55
Case6,Analyze Purchase Requisition,res_3ca734ca-8d7e-4d3c-a302-55161a313f11,Role 3,2011-06-22 16:30:45,51,0,0.0,2011-06-22 16:25:31
Case13,Create Purchase Requisition,res_eee1e8b6-174d-4e2a-a3b1-cabb5f478f4f,Role 1,2011-06-22 18:57:53,52,0,0.0,2011-06-22 18:49:17
Case7,Analyze Purchase Requisition,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-22 19:41:16,52,0,0.0,2011-06-22 19:36:24
Case6,Amend Purchase Requisition,res_b29536cf-c6bc-4759-82f5-d430a48993b0,Role 1,2011-06-22 20:14:23,51,0,0.0,2011-06-22 19:54:23
Case8,Analyze Purchase Requisition,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-22 21:11:00,51,0,0.3333333333333333,2011-06-22 21:06:37
Case13,Create Request for Quotation,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-22 21:18:07,51,0,0.0,2011-06-22 21:01:53
Case14,Create Purchase Requisition,res_8a5aae88-574e-4567-baff-d824b27feae9,Role 1,2011-06-23 00:31:55,52,0,0.0,2011-06-23 00:23:34
Case2,Analyze Request for Quotation,res_bae65c09-1121-4513-8077-5321067d3748,Role 4,2011-06-23 01:45:00,52,0,0.0,2011-06-23 01:30:11
Case9,Analyze Purchase Requisition,res_bae65c09-1121-4513-8077-5321067d3748,Role 3,2011-06-23 01:47:21,53,0,0.0,2011-06-23 01:40:42
Case15,Create Purchase Requisition,res_bae65c09-1121-4513-8077-5321067d3748,Role 1,2011-06-23 01:47:48,53,0,0.0,2011-06-23 01:39:29
Case16,Create Purchase Requisition,res_f7b3f01a-15d9-4cbd-9cab-3054668c28cb,Role 1,2011-06-23 02:33:03,53,0,0.0,2011-06-23 02:24:45
Case17,Create Purchase Requisition,res_f737aed2-ca4a-4be0-8c07-861829374977,Role 1,2011-06-23 03:30:37,54,0,0.0,2011-06-23 03:22:20
Case18,Create Purchase Requisition,res_9a077e53-c7e8-45fb-8185-b646f3aa0034,Role 1,2011-06-23 04:08:31,55,0,0.0,2011-06-23 04:00:14
Case16,Create Request for Quotation,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-23 04:43:55,55,0,0.0,2011-06-23 04:26:32
Case3,Analyze Request for Quotation,res_3f8c2c98-a6d5-449e-a0ab-e7e7f57e919b,Role 4,2011-06-23 05:14:05,55,0,0.0,2011-06-23 04:59:35
Case19,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-23 05:29:12,56,0,0.0,2011-06-23 05:20:57
Case11,Analyze Purchase Requisition,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-23 05:48:31,56,0,0.0,2011-06-23 05:42:00
Case3,Amend Request for Quotation,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 1,2011-06-23 06:01:24,56,0,0.0,2011-06-23 05:41:53
Case9,Amend Purchase Requisition,res_b29536cf-c6bc-4759-82f5-d430a48993b0,Role 1,2011-06-23 07:09:50,55,0,0.0,2011-06-23 06:49:08
Case20,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-23 07:54:42,56,0,0.0,2011-06-23 07:46:28
Case12,Analyze Purchase Requisition,res_60aad6dd-9ad0-4542-86cb-389af277cdd3,Role 3,2011-06-23 08:51:28,56,0,0.0,2011-06-23 08:44:58
Case4,Analyze Request for Quotation,res_3f8c2c98-a6d5-449e-a0ab-e7e7f57e919b,Role 4,2011-06-23 09:39:49,56,0,0.0,2011-06-23 09:25:35
Case21,Create Purchase Requisition,res_39cf8ffa-82ef-4027-a70c-51e6611fd072,Role 1,2011-06-23 11:01:52,56,0,0.0,2011-06-23 10:53:40
Case22,Create Purchase Requisition,res_efbcd2b4-cc11-406f-a458-6afedf307a7b,Role 1,2011-06-23 12:26:58,57,0,0.0,2011-06-23 12:18:46
Case23,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-23 14:36:33,58,0,0.07142857142857142,2011-06-23 14:28:21
Case12,Amend Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-23 14:44:35,57,0,0.0,2011-06-23 14:24:57
Case24,Create Purchase Requisition,res_b848b466-5715-4742-88ee-3b4759e3281c,Role 1,2011-06-23 15:18:01,59,0,0.0,2011-06-23 15:09:50
Case25,Create Purchase Requisition,res_8a5aae88-574e-4567-baff-d824b27feae9,Role 1,2011-06-23 16:14:28,60,0,0.0,2011-06-23 16:06:17
Case23,Create Request for Quotation,res_bae65c09-1121-4513-8077-5321067d3748,Role 3,2011-06-23 17:06:40,60,0,0.0,2011-06-23 16:48:44
