caseid,task,start_timestamp,end_timestamp
Case000,Create Purchase Order,2021-02-20 16:22:59.425993,2021-02-20 16:22:59.425993
Case000,Send Invoice,2021-02-20 03:09:06.102705,2021-02-20 03:09:06.102705
Case000,Create Purchase Requisition,2021-02-19 23:38:31.834481,2021-02-20 03:05:44.477084
Case000,Create Purchase Requisition,2021-02-19 23:38:31.834481,2021-02-19 23:38:31.834481
Case000,Settle Dispute With Supplier,2021-02-19 12:17:51.695188,2021-02-19 15:51:32.693761
Case000,Create Request for Quotation,2021-02-18 17:17:49.324544,2021-02-18 17:17:49.324544
Case000,Release Purchase Order,2021-02-18 10:25:56.292465,2021-02-18 16:10:15.379122
Case000,Send Invoice,2021-02-18 07:31:26.706927,2021-02-18 10:25:56.292465
Case000,Analyze Request for Quotation,2021-02-18 07:31:26.706927,2021-02-18 07:31:26.706927
Case000,Release Supplier's Invoice,2021-02-18 07:31:26.706927,2021-02-18 07:31:26.706927
Case000,Settle Conditions With Supplier,2021-02-19 23:38:31.834481,2021-02-19 23:38:31.834481
Case000,Create Purchase Requisition,2021-02-17 09:51:47.244637,2021-02-17 14:05:31.750109
Case000,Settle Conditions With Supplier,2021-02-17 14:05:31.750109,2021-02-17 14:05:31.750109
Case000,Settle Conditions With Supplier,2021-02-14 04:47:07.987196,2021-02-14 04:47:07.987196
Case000,Create Purchase Order,2021-02-14 04:47:07.987196,2021-02-14 11:03:00.669214
Case000,Release Supplier's Invoice,2021-02-14 21:38:18.543169,2021-02-15 02:42:37.042887
Case000,Create Quotation comparison Map,2021-02-15 02:42:37.042887,2021-02-15 06:42:16.949923
Case000,Pay Invoice,2021-02-15 02:42:37.042887,2021-02-15 02:42:37.042887
Case000,Deliver Goods Services,2021-02-15 06:42:16.949923,2021-02-15 06:42:16.949923
Case000,Analyze Purchase Requisition,2021-02-15 06:42:16.949923,2021-02-15 06:42:16.949923
Case000,Amend Request for Quotation,2021-02-16 01:15:07.212260,2021-02-16 01:15:07.212260
Case000,Release Supplier's Invoice,2021-02-16 01:15:07.212260,2021-02-16 01:15:07.212260
Case000,Analyze Quotation Comparison Map,2021-02-16 21:44:04.205668,2021-02-17 01:49:43.688786
Case001,Choose best option,2021-02-20 19:07:21.400101,2021-02-20 20:52:24.517472
Case001,Amend Request for Quotation,2021-02-19 01:03:39.969156,2021-02-19 09:02:09.191187
Case001,Send Request for Quotation to Supplier,2021-02-18 17:17:49.324544,2021-02-18 21:47:11.438449
Case001,Settle Conditions With Supplier,2021-02-19 15:51:32.693761,2021-02-19 15:51:32.693761
Case001,Settle Dispute With Supplier,2021-02-18 12:14:30.362785,2021-02-18 12:14:30.362785
Case001,Approve Purchase Order for payment,2021-02-20 03:28:00.493977,2021-02-20 03:28:00.493977
Case001,Create Quotation comparison Map,2021-02-13 15:20:02.716162,2021-02-14 01:10:29.409220
Case001,Choose best option,2021-02-20 03:09:06.102705,2021-02-20 07:26:05.991869
Case001,Authorize Supplier's Invoice payment,2021-02-20 23:36:59.196882,2021-02-20 23:36:59.196882
Case001,Create Request for Quotation,2021-02-21 12:51:08.700972,2021-02-22 07:00:34.143248
Case001,Amend Purchase Requisition,2021-02-13 12:20:38.343090,2021-02-13 12:20:38.343090
Case001,Confirm Purchase Order,2021-02-18 18:37:56.506999,2021-02-18 22:11:35.076135
Case001,Analyze Request for Quotation,2021-02-20 03:05:44.477084,2021-02-20 10:32:23.308833
Case001,Analyze Purchase Requisition,2021-02-15 11:46:00.362484,2021-02-15 15:41:27.850048
Case001,Amend Request for Quotation,2021-02-17 17:20:11.539986,2021-02-17 17:22:35.628040
Case001,Release Purchase Order,2021-02-17 14:05:31.750109,2021-02-17 23:14:11.683237
Case001,Create Purchase Order,2021-02-13 12:20:38.342764,2021-02-13 12:20:38.342764
