caseid,task,start_timestamp,end_timestamp,resource
1,Create Purchase Requisition,2011-06-21 05:06:28.039,2011-06-21 09:09:21.96,Role 1
1,Start,2011-06-21 09:09:21.96,2011-06-21 09:09:21.96,SYSTEM
0,Create Purchase Requisition,2011-06-21 00:00:00.0,2011-06-21 09:10:19.248,Role 1
1,Analyze Purchase Requisition,2011-06-21 09:09:21.96,2011-06-21 09:16:40.385,Role 4
1,Amend Purchase Requisition,2011-06-21 09:16:40.385,2011-06-21 09:45:40.385,Role 1
1,Analyze Purchase Requisition,2011-06-21 09:45:40.385,2011-06-21 09:47:27.653,Role 4
1,Create Request for Quotation,2011-06-21 09:47:27.653,2011-06-21 09:53:28.614,Role 4
1,Analyze Request for Quotation,2011-06-21 09:53:28.614,2011-06-21 09:55:24.21,Role 3
0,Start,2011-06-21 09:10:19.248,2011-06-21 10:00:00.0,SYSTEM
0,Create Purchase Requisition,2011-06-21 10:00:00.0,2011-06-21 10:11:46.623,Role 1
0,Start,2011-06-21 10:11:46.623,2011-06-21 10:11:46.623,SYSTEM
0,Analyze Purchase Requisition,2011-06-21 10:11:46.623,2011-06-21 10:23:20.264,Role 4
1,Send Request for Quotation to Supplier,2011-06-21 09:55:24.21,2011-06-21 10:25:06.533,Role 3
0,Amend Purchase Requisition,2011-06-21 10:23:20.264,2011-06-21 10:52:20.264,Role 1
0,Analyze Purchase Requisition,2011-06-21 10:52:20.264,2011-06-21 10:54:59.438,Role 4
0,Create Request for Quotation,2011-06-21 10:54:59.438,2011-06-21 10:55:14.694,Role 4
0,Analyze Request for Quotation,2011-06-21 10:55:14.694,2011-06-21 10:57:59.032,Role 3
0,Amend Request for Quotation,2011-06-21 10:57:59.032,2011-06-21 11:00:56.904,Role 1
0,Analyze Request for Quotation,2011-06-21 11:00:56.904,2011-06-21 11:41:57.207,Role 3
0,Send Request for Quotation to Supplier,2011-06-21 11:41:57.207,2011-06-21 12:01:17.888,Role 3
1,Create Quotation comparison Map,2011-06-21 10:25:06.533,2011-06-21 13:33:32.455,Role 3
1,Analyze Quotation Comparison Map,2011-06-21 13:33:32.455,2011-06-21 13:43:33.219,Role 1
1,Choose best option,2011-06-21 13:43:33.219,2011-06-21 13:43:33.219,Role 1
0,Create Quotation comparison Map,2011-06-21 12:01:17.888,2011-06-22 11:50:21.284,Role 3
0,Analyze Quotation Comparison Map,2011-06-22 11:50:21.284,2011-06-22 12:51:04.335,Role 1
0,Choose best option,2011-06-22 12:51:04.335,2011-06-22 12:51:04.335,Role 1
0,Settle Conditions With Supplier,2011-06-22 12:51:04.335,2011-06-22 15:33:47.222,Role 3
0,Create Purchase Order,2011-06-22 15:33:47.222,2011-06-22 15:34:53.443,Role 3
0,Confirm Purchase Order,2011-06-22 15:34:53.443,2011-06-22 15:40:43.366,Role 2
0,Deliver Goods Services,2011-06-22 15:40:43.366,2011-06-23 09:28:46.313,Role 2
0,Release Purchase Order,2011-06-23 09:28:46.313,2011-06-23 09:29:46.313,Role 1
0,Approve Purchase Order for payment,2011-06-23 09:29:46.313,2011-06-23 09:30:46.313,Role 3
0,Send Invoice,2011-06-23 09:30:46.313,2011-06-23 09:30:46.313,Role 2
0,Release Supplier's Invoice,2011-06-23 09:30:46.313,2011-06-23 09:32:58.045,Role 5
0,Authorize Supplier's Invoice payment,2011-06-23 09:32:58.045,2011-06-23 09:32:58.045,Role 5
0,Pay Invoice,2011-06-23 09:32:58.045,2011-06-23 09:34:36.532,Role 5
0,End,2011-06-23 09:34:36.532,2011-06-23 09:34:36.532,SYSTEM
2,Start,2011-06-26 02:16:25.023,2011-06-26 02:16:25.023,SYSTEM
2,Analyze Purchase Requisition,2011-06-26 02:16:25.023,2011-06-27 09:02:07.933,Role 4
2,Amend Purchase Requisition,2011-06-27 09:02:07.933,2011-06-27 09:31:07.933,Role 1
2,Analyze Purchase Requisition,2011-06-27 09:31:07.933,2011-06-27 09:35:21.108,Role 4
2,Create Request for Quotation,2011-06-27 09:35:21.108,2011-06-27 09:44:42.959,Role 4
2,Analyze Request for Quotation,2011-06-27 09:44:42.959,2011-06-27 10:17:50.6,Role 3
2,Amend Request for Quotation,2011-06-27 10:17:50.6,2011-06-27 10:23:58.594,Role 1
2,Analyze Request for Quotation,2011-06-27 10:23:58.594,2011-06-27 10:33:01.657,Role 3
2,Send Request for Quotation to Supplier,2011-06-27 10:33:01.657,2011-06-27 11:19:47.784,Role 3
2,Create Quotation comparison Map,2011-06-27 11:19:47.784,2011-06-27 12:49:07.01,Role 3
2,Analyze Quotation Comparison Map,2011-06-27 12:49:07.01,2011-06-27 13:54:57.853,Role 1
2,Choose best option,2011-06-27 13:54:57.853,2011-06-27 13:54:57.853,Role 1
1,Settle Conditions With Supplier,2011-06-21 13:43:33.219,2011-06-27 15:22:40.605,Role 3
1,Create Purchase Order,2011-06-27 15:22:40.605,2011-06-27 15:29:32.219,Role 3
1,Confirm Purchase Order,2011-06-27 15:29:32.219,2011-06-27 16:52:45.358,Role 2
2,Settle Conditions With Supplier,2011-06-27 13:54:57.853,2011-06-28 11:15:31.548,Role 3
2,Create Purchase Order,2011-06-28 11:15:31.548,2011-06-28 11:26:28.713,Role 3
2,Confirm Purchase Order,2011-06-28 11:26:28.713,2011-06-28 12:03:53.042,Role 2
3,Create Purchase Requisition,2011-06-29 21:10:36.424,2011-06-30 09:16:26.254,Role 1
3,Start,2011-06-30 09:16:26.254,2011-06-30 09:16:26.254,SYSTEM
3,Create Purchase Requisition,2011-06-30 09:16:26.254,2011-06-30 10:51:41.176,Role 1
3,Start,2011-06-30 10:51:41.176,2011-06-30 10:51:41.176,SYSTEM
3,Analyze Purchase Requisition,2011-06-30 10:51:41.176,2011-06-30 11:00:20.336,Role 4
3,Amend Purchase Requisition,2011-06-30 11:00:20.336,2011-06-30 11:29:20.336,Role 1
3,Analyze Purchase Requisition,2011-06-30 11:29:20.336,2011-06-30 11:36:29.748,Role 4
3,Amend Purchase Requisition,2011-06-30 11:36:29.748,2011-06-30 12:05:29.748,Role 1
3,Analyze Purchase Requisition,2011-06-30 12:05:29.748,2011-06-30 12:05:40.06,Role 4
3,Create Request for Quotation,2011-06-30 12:05:40.06,2011-06-30 12:07:53.76,Role 4
3,Analyze Request for Quotation,2011-06-30 12:07:53.76,2011-06-30 12:49:10.73,Role 3
3,Send Request for Quotation to Supplier,2011-06-30 12:49:10.73,2011-06-30 12:53:57.716,Role 3
3,Create Quotation comparison Map,2011-06-30 12:53:57.716,2011-06-30 16:42:01.761,Role 3
3,Analyze Quotation Comparison Map,2011-06-30 16:42:01.761,2011-06-30 16:51:27.375,Role 1
3,Choose best option,2011-06-30 16:51:27.375,2011-06-30 16:51:27.375,Role 1
4,Create Purchase Requisition,2011-07-03 02:34:55.976,2011-07-04 09:04:09.552,Role 1
4,Start,2011-07-04 09:04:09.552,2011-07-04 09:04:09.552,SYSTEM
4,Create Purchase Requisition,2011-07-04 09:04:09.552,2011-07-04 09:07:19.019,Role 1
4,Start,2011-07-04 09:07:19.019,2011-07-04 09:07:19.019,SYSTEM
4,Create Purchase Requisition,2011-07-04 09:07:19.019,2011-07-04 09:23:23.248,Role 1
4,Start,2011-07-04 09:23:23.248,2011-07-04 09:23:23.248,SYSTEM
4,Create Purchase Requisition,2011-07-04 09:23:23.248,2011-07-04 09:33:57.608,Role 1
4,Start,2011-07-04 09:33:57.608,2011-07-04 09:33:57.608,SYSTEM
4,Create Purchase Requisition,2011-07-04 09:33:57.608,2011-07-04 10:10:30.813,Role 1
4,Start,2011-07-04 10:10:30.813,2011-07-04 10:10:30.813,SYSTEM
4,Create Purchase Requisition,2011-07-04 10:10:30.813,2011-07-04 11:09:08.194,Role 1
4,Start,2011-07-04 11:09:08.194,2011-07-04 11:09:08.194,SYSTEM
4,Analyze Purchase Requisition,2011-07-04 11:09:08.194,2011-07-04 11:10:37.922,Role 4
4,Create Request for Quotation,2011-07-04 11:10:37.922,2011-07-04 11:11:43.198,Role 4
4,Analyze Request for Quotation,2011-07-04 11:11:43.198,2011-07-04 11:38:49.953,Role 3
4,Send Request for Quotation to Supplier,2011-07-04 11:38:49.953,2011-07-04 12:23:48.046,Role 3
5,Create Purchase Requisition,2011-07-04 12:34:07.466,2011-07-04 12:39:05.882,Role 1
5,Start,2011-07-04 12:39:05.882,2011-07-04 12:39:05.882,SYSTEM
5,Analyze Purchase Requisition,2011-07-04 12:39:05.882,2011-07-04 12:40:23.885,Role 4
5,Create Request for Quotation,2011-07-04 12:40:23.885,2011-07-04 12:40:56.586,Role 4
4,Create Quotation comparison Map,2011-07-04 12:23:48.046,2011-07-04 13:12:21.436,Role 3
4,Analyze Quotation Comparison Map,2011-07-04 13:12:21.436,2011-07-04 13:12:36.093,Role 1
4,Choose best option,2011-07-04 13:12:36.093,2011-07-04 13:12:36.093,Role 1
2,Deliver Goods Services,2011-06-28 12:03:53.042,2011-07-04 13:13:00.925,Role 2
2,Release Purchase Order,2011-07-04 13:13:00.925,2011-07-04 13:14:00.925,Role 1
5,Analyze Request for Quotation,2011-07-04 12:40:56.586,2011-07-04 13:18:44.831,Role 3
2,Approve Purchase Order for payment,2011-07-04 13:18:44.831,2011-07-04 13:19:44.831,Role 3
2,Send Invoice,2011-07-04 13:19:44.831,2011-07-04 13:19:44.831,Role 2
2,Release Supplier's Invoice,2011-07-04 13:19:44.831,2011-07-04 13:27:00.95,Role 5
5,Send Request for Quotation to Supplier,2011-07-04 13:19:44.831,2011-07-04 14:15:33.378,Role 3
2,Settle Dispute With Supplier,2011-07-04 13:27:00.95,2011-07-04 14:24:41.968,Role 5
2,Authorize Supplier's Invoice payment,2011-07-04 14:24:41.968,2011-07-04 14:24:41.968,Role 5
2,Pay Invoice,2011-07-04 14:24:41.968,2011-07-04 14:39:15.531,Role 5
2,End,2011-07-04 14:39:15.531,2011-07-04 14:39:15.531,SYSTEM
5,Create Quotation comparison Map,2011-07-04 14:15:33.378,2011-07-04 16:32:51.263,Role 3
5,Analyze Quotation Comparison Map,2011-07-04 16:32:51.263,2011-07-04 16:37:37.41,Role 1
