caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,rp_start_oc,start_timestamp
Case2,W_Completeren aanvraag,res_59cf848e-2897-407d-88d7-f9556100caf2,Role 1,2012-02-13 20:40:49,290,1,0.0,2012-02-13 20:38:00
Case4,W_Afhandelen leads,res_a4360263-21ab-45a7-b533-18be333bdedc,Role 1,2012-02-13 20:59:15,291,1,0.0,2012-02-13 20:56:24
Case1,W_Beoordelen fraude,res_a4360263-21ab-45a7-b533-18be333bdedc,Role 6,2012-02-13 21:27:04,292,0,0.0,2012-02-13 21:24:12
Case3,W_Completeren aanvraag,res_a4360263-21ab-45a7-b533-18be333bdedc,Role 1,2012-02-13 21:27:20,293,1,0.0,2012-02-13 21:24:31
Case5,W_Beoordelen fraude,res_778e5abf-b0d8-4d3b-b942-846c00e87651,Role 6,2012-02-13 21:32:13,294,0,0.0,2012-02-13 21:29:21
Case7,W_Afhandelen leads,res_61602cd3-0ef3-4f97-a010-e8325551cdb1,Role 1,2012-02-13 21:41:29,295,1,0.0,2012-02-13 21:38:38
Case6,W_Completeren aanvraag,res_01a2e014-ac02-4592-bbc8-05492f109243,Role 1,2012-02-13 21:46:56,295,1,0.0,2012-02-13 21:44:07
Case4,W_Completeren aanvraag,res_3f31a316-1a69-4393-9d27-0a93a6e640b3,Role 1,2012-02-13 22:11:37,295,1,0.0,2012-02-13 22:09:02
Case1,W_Afhandelen leads,res_f90ee681-7d8b-4435-af9f-bf696f791abe,Role 1,2012-02-13 22:30:23,294,1,0.0,2012-02-13 22:27:53
Case5,W_Afhandelen leads,res_38eb2762-acc2-4401-99ea-f48200db6473,Role 1,2012-02-13 22:35:32,293,1,0.0,2012-02-13 22:33:02
Case8,W_Beoordelen fraude,res_778e5abf-b0d8-4d3b-b942-846c00e87651,Role 6,2012-02-13 22:51:38,294,0,0.0,2012-02-13 22:48:46
Case9,W_Beoordelen fraude,res_778e5abf-b0d8-4d3b-b942-846c00e87651,Role 6,2012-02-13 23:17:12,295,0,0.0,2012-02-13 23:14:20
Case2,W_Nabellen offertes,res_38eb2762-acc2-4401-99ea-f48200db6473,Role 1,2012-02-13 23:21:52,295,0,0.0,2012-02-13 23:19:25
