caseid,task,start_timestamp,end_timestamp
Case0001,W_Completeren aanvraag,2021-02-14 00:20:56.922642,2021-02-14 00:20:56.922642
Case0001,W_Beoordelen fraude,2021-02-13 16:36:59.793408,2021-02-13 18:18:05.408466
Case0001,W_Nabellen offertes,2021-02-13 12:42:55.440767,2021-02-13 14:03:44.131265
Case0001,W_Completeren aanvraag,2021-02-13 14:50:13.013594,2021-02-13 16:36:59.793408
Case0001,W_Nabellen offertes,2021-02-13 12:42:55.440767,2021-02-13 12:42:55.440767
Case0001,W_Nabellen offertes,2021-02-13 12:42:55.440767,2021-02-13 12:42:55.440767
Case0001,W_Nabellen incomplete dossiers,2021-02-13 23:03:36.159562,2021-02-13 23:14:36.355860
Case0001,W_Afhandelen leads,2021-02-13 10:57:06.776199,2021-02-13 10:57:06.776199
Case0002,W_Beoordelen fraude,2021-02-13 11:34:20.885988,2021-02-13 15:29:59.414812
Case0002,W_Beoordelen fraude,2021-02-13 10:57:06.776269,2021-02-13 10:57:06.776269
Case0002,W_Beoordelen fraude,2021-02-13 17:40:41.631297,2021-02-13 18:36:48.056811
Case0002,W_Valideren aanvraag,2021-02-13 11:40:49.980800,2021-02-13 12:49:00.104501
Case0003,W_Completeren aanvraag,2021-02-13 13:58:44.518900,2021-02-13 14:13:10.838401
Case0003,W_Afhandelen leads,2021-02-13 13:01:24.992745,2021-02-13 13:01:24.992745
Case0003,W_Valideren aanvraag,2021-02-13 13:35:47.466783,2021-02-13 13:35:47.466783
Case0003,W_Valideren aanvraag,2021-02-13 17:40:41.631297,2021-02-13 18:02:35.110554
Case0003,W_Beoordelen fraude,2021-02-13 12:59:57.126083,2021-02-13 12:59:57.126083
Case0004,W_Afhandelen leads,2021-02-13 14:35:15.652459,2021-02-13 14:35:15.652459
Case0004,W_Completeren aanvraag,2021-02-14 00:22:23.437482,2021-02-14 00:22:23.437482
Case0004,W_Beoordelen fraude,2021-02-13 17:34:00.235608,2021-02-13 17:34:00.235608
Case0004,W_Nabellen offertes,2021-02-13 23:44:14.093311,2021-02-14 01:29:49.153216
Case0004,W_Afhandelen leads,2021-02-13 13:13:49.118421,2021-02-13 13:13:49.118421
