caseid,task,role,start_timestamp,end_timestamp,dur_raw,dur,wait_raw,wait
Case0000,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024690693244338036,600.0,0.015255926176905632,39250.0
Case0000,W_Completeren aanvraag,end,2012-02-15 13:04:22.110,2012-02-15 13:08:05.110,0.0009165080264210701,223.0,0.017605764791369438,45295.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-16 09:37:40.110,2012-02-16 09:37:40.110,0.0,0.0,0.028675734996795654,73775.0
Case0000,W_Nabellen offertes,Role 1,2012-02-17 08:51:53.110,2012-02-17 08:58:44.110,0.0016892412677407265,411.0,0.032515015453100204,83653.0
Case0000,W_Nabellen offertes,end,2012-02-18 08:52:58.110,2012-02-18 09:01:02.110,0.001989375799894333,484.0,0.033448513597249985,86054.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-19 10:53:35.110,2012-02-19 11:04:02.110,0.002578485757112503,627.0,0.0362076498568058,93153.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-20 10:54:58.110,2012-02-20 11:10:29.110,0.0038289157673716545,931.0,0.03337130323052406,85856.0
Case0000,W_Nabellen offertes,Role 1,2012-02-21 07:54:08.110,2012-02-21 08:12:52.110,0.004622207954525948,1124.0,0.02900366671383381,74619.0
Case0000,W_Nabellen offertes,Role 1,2012-02-22 04:23:03.110,2012-02-22 04:38:18.110,0.003761773928999901,915.0,0.028223130851984024,72611.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-22 23:44:07.110,2012-02-22 23:53:32.110,0.0023238491266965866,565.0,0.026722222566604614,68749.0
Case0000,W_Nabellen offertes,Role 1,2012-02-23 16:15:30.110,2012-02-23 16:18:02.110,0.0006245216354727745,152.0,0.022900929674506187,58918.0
Case0000,W_Nabellen offertes,Role 1,2012-02-24 09:47:02.110,2012-02-24 09:47:02.110,0.0,0.0,0.02446436509490013,62940.0
Case0000,W_Completeren aanvraag,Role 1,2012-02-25 03:16:12.110,2012-02-25 03:16:12.110,0.0,0.0,0.0244679506868124,62950.0
Case0000,W_Nabellen offertes,Role 1,2012-02-25 18:22:36.110,2012-02-25 18:22:36.110,0.0,0.0,0.02113857865333557,54384.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-02-26 11:13:33.110,2012-02-26 11:13:33.110,0.0,0.0,0.02357698790729046,60657.0
Case0000,W_Nabellen incomplete dossiers,end,2012-02-27 03:23:00.110,2012-02-27 03:23:00.110,0.0,0.0,0.022608796134591103,58167.0
Case0000,W_Valideren aanvraag,Role 1,2012-02-27 22:20:28.110,2012-02-27 22:26:13.110,0.0014197579585015774,345.0,0.026527294889092445,68248.0
Case0000,W_Valideren aanvraag,Role 1,2012-02-28 17:41:45.110,2012-02-28 17:50:47.110,0.002227463759481907,542.0,0.026948582381010056,69332.0
Case0000,W_Nabellen incomplete dossiers,Role 1,2012-02-29 11:24:17.110,2012-02-29 11:36:13.110,0.002945106476545334,716.0,0.02456926554441452,63210.0
Case0000,W_Valideren aanvraag,Role 1,2012-03-01 05:32:50.110,2012-03-01 05:45:37.110,0.003155909478664398,767.0,0.025108439847826958,64597.0
Case0000,W_Nabellen incomplete dossiers,end,2012-03-01 21:44:08.110,2012-03-01 21:52:33.110,0.0020768139511346817,505.0,0.022353895008563995,57511.0
Case0001,W_Afhandelen leads,Role 1,2012-02-15 00:19:27.110,2012-02-15 00:29:27.110,0.0024690693244338036,600.0,0.015255926176905632,39250.0
