caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case8,W_Complete application,res_3745c705-c2fc-4ee7-bb82-c87359f4ee28,Role 1,2016-10-24 09:11:43,1030,1,2016-10-24 09:09:31
Case2,W_Complete application,res_70ba1e2b-8104-459e-b267-b9ef2450e191,Role 1,2016-10-24 09:30:40,1031,1,2016-10-24 09:28:28
Case1,W_Handle leads,res_fca4d12e-7bbb-4f12-a999-2ef5be8f0693,Role 1,2016-10-24 09:33:03,1032,0,2016-10-24 09:32:54
Case9,W_Complete application,res_792a50bd-dc8d-4830-aad9-b69017bec985,Role 1,2016-10-24 09:36:51,1033,1,2016-10-24 09:34:39
Case6,W_Call after offers,res_e9b86865-372e-4a84-bee6-91954fbdabaf,Role 1,2016-10-24 09:41:26,1034,1,2016-10-24 09:39:15
Case4,W_Handle leads,res_64dcb74d-dfce-4d60-8d96-de688847e556,Role 1,2016-10-24 09:50:23,1035,0,2016-10-24 09:50:14
Case5,W_Handle leads,res_7cb2427a-8618-4bb3-8697-5f10e2c816b0,Role 1,2016-10-24 09:50:54,1036,0,2016-10-24 09:50:45
Case2,W_Complete application,res_66ef1658-b5fc-4b2f-ad42-a1fae8351d29,Role 1,2016-10-24 09:52:41,1036,1,2016-10-24 09:51:57
Case8,W_Call after offers,res_6126af43-cbdd-479d-96fb-413a11018f8b,Role 1,2016-10-24 09:55:49,1036,1,2016-10-24 09:55:06
Case1,W_Complete application,res_6126af43-cbdd-479d-96fb-413a11018f8b,Role 1,2016-10-24 09:56:44,1036,1,2016-10-24 09:54:19
Case3,W_Complete application,res_48bf467d-17a6-42f1-8cdf-8dca9df3cdde,Role 1,2016-10-24 10:05:51,1037,1,2016-10-24 10:03:39
Case7,W_Complete application,res_48bf467d-17a6-42f1-8cdf-8dca9df3cdde,Role 1,2016-10-24 10:07:08,1038,2,2016-10-24 10:04:56
