caseid,task,start_timestamp,end_timestamp,resource
0,Start,2016-10-24 09:08:48.0,2016-10-24 09:08:48.0,SYSTEM
1,Start,2016-10-24 09:49:12.85,2016-10-24 09:49:12.85,SYSTEM
2,Start,2016-10-24 10:22:53.7,2016-10-24 10:22:53.7,SYSTEM
3,Start,2016-10-24 10:23:22.426,2016-10-24 10:23:22.426,SYSTEM
4,Start,2016-10-24 11:05:58.516,2016-10-24 11:05:58.516,SYSTEM
5,Start,2016-10-24 11:10:02.025,2016-10-24 11:10:02.025,SYSTEM
6,Start,2016-10-24 11:10:14.545,2016-10-24 11:10:14.545,SYSTEM
7,Start,2016-10-24 11:18:23.695,2016-10-24 11:18:23.695,SYSTEM
8,Start,2016-10-24 11:39:23.287,2016-10-24 11:39:23.287,SYSTEM
9,Start,2016-10-24 11:39:41.42,2016-10-24 11:39:41.42,SYSTEM
10,Start,2016-10-24 12:09:05.636,2016-10-24 12:09:05.636,SYSTEM
11,Start,2016-10-24 12:09:08.606,2016-10-24 12:09:08.606,SYSTEM
12,Start,2016-10-24 13:12:27.492,2016-10-24 13:12:27.492,SYSTEM
13,Start,2016-10-24 14:04:41.692,2016-10-24 14:04:41.692,SYSTEM
14,Start,2016-10-24 14:23:25.589,2016-10-24 14:23:25.589,SYSTEM
15,Start,2016-10-24 14:36:06.271,2016-10-24 14:36:06.271,SYSTEM
16,Start,2016-10-24 14:36:21.957,2016-10-24 14:36:21.957,SYSTEM
17,Start,2016-10-24 15:07:48.43,2016-10-24 15:07:48.43,SYSTEM
18,Start,2016-10-24 15:19:49.847,2016-10-24 15:19:49.847,SYSTEM
19,Start,2016-10-24 15:38:10.661,2016-10-24 15:38:10.661,SYSTEM
20,Start,2016-10-24 15:50:13.721,2016-10-24 15:50:13.721,SYSTEM
21,Start,2016-10-24 16:32:19.244,2016-10-24 16:32:19.244,SYSTEM
17,W_Complete application,2016-10-24 15:07:48.43,2016-10-25 06:00:04.931,Role 1
6,W_Handle leads,2016-10-24 11:10:14.545,2016-10-25 06:00:06.508,Role 1
1,W_Complete application,2016-10-24 09:49:12.85,2016-10-25 06:00:11.795,Role 1
6,W_Complete application,2016-10-25 06:00:06.508,2016-10-25 06:00:19.016,Role 1
12,W_Handle leads,2016-10-24 13:12:27.492,2016-10-25 06:00:25.869,Role 1
0,W_Handle leads,2016-10-24 09:08:48.0,2016-10-25 06:00:25.884,Role 1
2,W_Complete application,2016-10-24 10:22:53.7,2016-10-25 06:00:28.942,Role 1
17,W_Call after offers,2016-10-25 06:00:04.931,2016-10-25 06:00:36.948,Role 1
18,W_Complete application,2016-10-24 15:19:49.847,2016-10-25 06:00:37.598,Role 1
15,W_Handle leads,2016-10-24 14:36:06.271,2016-10-25 06:00:38.559,Role 1
6,W_Call after offers,2016-10-25 06:00:19.016,2016-10-25 06:00:43.233,Role 1
7,W_Handle leads,2016-10-24 11:18:23.695,2016-10-25 06:00:50.392,Role 1
20,W_Handle leads,2016-10-24 15:50:13.721,2016-10-25 06:00:50.725,Role 1
18,W_Shortened completion,2016-10-25 06:00:37.598,2016-10-25 06:00:50.796,Role 1
18,W_Call after offers,2016-10-25 06:00:50.796,2016-10-25 06:00:51.198,Role 1
19,W_Handle leads,2016-10-24 15:38:10.661,2016-10-25 06:00:52.577,Role 1
19,W_Complete application,2016-10-25 06:00:52.577,2016-10-25 06:00:54.774,Role 1
5,W_Complete application,2016-10-24 11:10:02.025,2016-10-25 06:00:57.796,Role 1
17,W_Validate application,2016-10-25 06:00:36.948,2016-10-25 06:00:59.054,Role 1
17,W_Call incomplete files,2016-10-25 06:00:59.054,2016-10-25 06:01:03.204,Role 1
14,W_Handle leads,2016-10-24 14:23:25.589,2016-10-25 06:01:11.993,Role 1
16,W_Handle leads,2016-10-24 14:36:21.957,2016-10-25 06:01:12.544,Role 1
14,W_Complete application,2016-10-25 06:01:11.993,2016-10-25 06:01:14.19,Role 1
16,W_Complete application,2016-10-25 06:01:12.544,2016-10-25 06:01:16.135,Role 1
9,W_Handle leads,2016-10-24 11:39:41.42,2016-10-25 06:01:20.683,Role 1
13,W_Handle leads,2016-10-24 14:04:41.692,2016-10-25 06:01:22.668,Role 1
18,W_Validate application,2016-10-25 06:00:51.198,2016-10-25 06:01:23.991,Role 1
6,W_Validate application,2016-10-25 06:00:43.233,2016-10-25 06:01:24.066,Role 1
6,W_Call incomplete files,2016-10-25 06:01:24.066,2016-10-25 06:01:24.926,Role 1
3,W_Handle leads,2016-10-24 10:23:22.426,2016-10-25 06:01:27.706,Role 1
6,W_Validate application,2016-10-25 06:01:24.926,2016-10-25 06:01:32.921,Role 1
3,W_Complete application,2016-10-25 06:01:27.706,2016-10-25 06:01:34.605,Role 1
3,W_Call after offers,2016-10-25 06:01:34.605,2016-10-25 06:01:35.203,Role 1
8,W_Complete application,2016-10-24 11:39:23.287,2016-10-25 06:01:46.687,Role 1
8,W_Call after offers,2016-10-25 06:01:46.687,2016-10-25 06:01:46.737,Role 1
14,W_Call after offers,2016-10-25 06:01:14.19,2016-10-25 06:01:50.548,Role 1
8,W_Validate application,2016-10-25 06:01:46.737,2016-10-25 06:01:51.346,Role 1
8,W_Call incomplete files,2016-10-25 06:01:51.346,2016-10-25 06:01:52.337,Role 1
4,W_Handle leads,2016-10-24 11:05:58.516,2016-10-25 06:02:03.516,Role 1
