case:concept:name,concept:name,time:timestamp,org:resources,lifecyle:transition
1,Start,2016-04-27 23:20:47.654465,Start,start
1,Start,2016-04-27 23:20:47.654465,Start,complete
1,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,11327,start
1,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,11327,complete
1,Radicar Solicitud Homologacion,2016-04-27 23:20:50.559313,11327,start
1,Radicar Solicitud Homologacion,2016-04-27 23:20:50.559313,11327,complete
1,Cancelar Solicitud,2016-04-27 23:20:50.559313,18929,start
1,Cancelar Solicitud,2016-04-28 00:48:22.911665,18929,complete
1,Notificacion estudiante cancelacion soli,2016-05-17 23:58:29.926823,18929,start
1,Notificacion estudiante cancelacion soli,2016-05-17 23:58:29.926823,18929,complete
1,End,2016-05-17 23:58:29.926823,End,start
1,End,2016-05-17 23:58:29.926823,End,complete
2,Start,2016-04-27 23:20:47.654465,Start,start
2,Start,2016-04-27 23:20:47.654465,Start,complete
2,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,5290,start
2,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,5290,complete
2,Radicar Solicitud Homologacion,2016-04-27 23:20:49.351144,5290,start
2,Radicar Solicitud Homologacion,2016-04-27 23:28:56.490745,5290,complete
2,Validar solicitud,2016-04-29 09:00:25.374956,19019,start
2,Validar solicitud,2016-04-29 11:24:52.032587,19019,complete
2,Homologacion por grupo de cursos,2016-05-03 01:55:36.759043,22496,start
2,Revisar curso,2016-05-03 01:55:37.944142,19019,start
2,Revisar curso,2016-05-03 02:01:19.723541,19019,complete
2,Evaluacion curso,2016-05-06 10:58:28.968416,22496,start
2,Homologacion por grupo de cursos,2016-05-06 11:34:12.099474,22496,complete
2,Evaluacion curso,2016-05-06 11:36:08.688439,22496,complete
2,Validacion final,2016-05-22 23:43:43.400548,1646,start
2,Validacion final,2016-05-23 00:00:01.283383,1646,complete
2,Visto Bueno Cierre Proceso,2016-05-23 02:58:19.438917,12535,start
2,Visto Bueno Cierre Proceso,2016-05-23 02:58:19.438917,12535,complete
2,End,2016-05-23 02:58:19.438917,End,start
2,End,2016-05-23 02:58:19.438917,End,complete
3,Start,2016-04-27 23:20:47.654465,Start,start
3,Start,2016-04-27 23:20:47.654465,Start,complete
3,Validar solicitud,2016-04-27 23:20:47.654465,1707,start
3,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,4130,start
3,Traer informacion estudiante - banner,2016-04-27 23:20:47.654465,4130,complete
3,Radicar Solicitud Homologacion,2016-04-27 23:20:48.610220,4130,start
3,Radicar Solicitud Homologacion,2016-04-27 23:27:01.533078,4130,complete
3,Validar solicitud,2016-04-28 00:05:04.553457,1707,complete
3,Homologacion por grupo de cursos,2016-05-02 19:28:41.808767,15930,start
3,Revisar curso,2016-05-02 19:28:42.854161,26757,start
3,Revisar curso,2016-05-02 19:28:42.854161,26757,complete
3,Homologacion por grupo de cursos,2016-05-02 23:19:50.420715,15930,complete
3,Evaluacion curso,2016-05-02 23:19:50.420715,26757,start
3,Evaluacion curso,2016-05-03 03:30:28.622291,26757,complete
3,Validacion final,2016-05-08 03:13:06.355186,1707,start
3,Validacion final,2016-05-08 03:30:09.515252,1707,complete
3,Visto Bueno Cierre Proceso,2016-05-08 10:33:06.474696,15930,start
3,Visto Bueno Cierre Proceso,2016-05-08 10:33:06.474696,15930,complete
3,Transferir Creditos,2016-05-08 10:33:06.474696,15930,start
3,Transferir Creditos,2016-05-08 10:33:06.474696,15930,complete
3,Transferir creditos homologables,2016-05-08 10:33:06.474696,15930,start
3,Transferir creditos homologables,2016-05-08 10:33:06.474696,15930,complete
3,End,2016-05-08 10:33:06.474696,End,start
3,End,2016-05-08 10:33:06.474696,End,complete
4,Start,2016-04-28 11:08:13.711761,Start,start
4,Start,2016-04-28 11:08:13.711761,Start,complete
4,Traer informacion estudiante - banner,2016-04-28 11:08:13.711761,7641,start
4,Traer informacion estudiante - banner,2016-04-28 11:08:13.711761,7641,complete
4,Radicar Solicitud Homologacion,2016-04-28 11:08:14.753454,7641,start
4,Radicar Solicitud Homologacion,2016-04-28 11:11:53.044004,7641,complete
4,Cancelar Solicitud,2016-04-29 03:01:44.714003,10280,start
4,Cancelar Solicitud,2016-04-29 04:14:09.152437,10280,complete
4,Notificacion estudiante cancelacion soli,2016-05-06 18:21:50.040636,10280,start
4,Notificacion estudiante cancelacion soli,2016-05-06 18:21:50.040636,10280,complete
4,End,2016-05-06 18:21:50.040636,End,start
4,End,2016-05-06 18:21:50.040636,End,complete
5,Start,2016-04-28 14:09:41.991174,Start,start
5,Start,2016-04-28 14:09:41.991174,Start,complete
5,Cancelar Solicitud,2016-04-28 14:09:41.991174,659,start
5,Validar solicitud,2016-04-28 14:09:41.991174,659,start
5,Cancelar Solicitud,2016-04-28 14:38:00.991174,10280,complete
5,Validar solicitud,2016-04-28 14:38:00.991174,18929,complete
5,Traer informacion estudiante - banner,2016-04-28 16:00:00.990197,8147,start
5,Traer informacion estudiante - banner,2016-04-28 16:00:00.990197,10280,complete
5,Radicar Solicitud Homologacion,2016-04-28 16:00:08.342589,10280,start
5,Radicar Solicitud Homologacion,2016-04-28 16:09:00.176222,10280,complete
5,Notificacion estudiante cancelacion soli,2016-05-05 06:24:21.194728,10280,start
5,Notificacion estudiante cancelacion soli,2016-05-05 06:24:21.194728,10280,complete
5,End,2016-05-05 06:24:21.194728,End,start
5,End,2016-05-05 06:24:21.194728,End,complete
6,Start,2016-04-28 14:09:41.991174,Start,start
6,Start,2016-04-28 14:09:41.991174,Start,complete
6,Traer informacion estudiante - banner,2016-04-28 14:09:41.991174,5183,start
6,Traer informacion estudiante - banner,2016-04-28 14:09:41.991174,5183,complete
6,Radicar Solicitud Homologacion,2016-04-28 14:09:45.460763,5183,start
